date,location,temp_max,temp_min,precipitation
2026-03-09,Karawang,30.8,23.3,0.7
2026-03-10,Karawang,30.2,24.5,2.8
2026-03-11,Karawang,32.6,23.6,0.0
2026-03-12,Karawang,33.6,23.9,0.0
2026-03-13,Karawang,33.6,23.9,0.0
2026-03-14,Karawang,33.0,23.6,0.9
2026-03-15,Karawang,31.0,25.4,1.8
2026-03-09,Indramayu,30.2,24.1,0.5
2026-03-10,Indramayu,29.5,24.8,1.2
2026-03-11,Indramayu,31.0,24.8,1.0
2026-03-12,Indramayu,31.5,24.9,0.4
2026-03-13,Indramayu,31.1,25.2,0.0
2026-03-14,Indramayu,31.6,25.3,2.8
2026-03-15,Indramayu,30.1,25.3,5.8
2026-03-09,Klaten,31.0,22.0,0.8
2026-03-10,Klaten,30.6,22.3,0.0
2026-03-11,Klaten,28.2,22.9,3.4
2026-03-12,Klaten,28.6,22.3,1.5
2026-03-13,Klaten,31.3,20.8,3.0
2026-03-14,Klaten,28.9,22.6,28.5
2026-03-15,Klaten,28.6,23.0,32.4
2026-03-09,Ngawi,33.1,23.3,0.1
2026-03-10,Ngawi,32.7,24.2,8.5
2026-03-11,Ngawi,32.3,23.0,1.5
2026-03-12,Ngawi,33.2,23.2,1.9
2026-03-13,Ngawi,33.8,23.1,0.0
2026-03-14,Ngawi,31.9,24.4,4.6
2026-03-15,Ngawi,31.8,24.4,11.6
2026-03-09,Banyuwangi,28.6,22.0,12.9
2026-03-10,Banyuwangi,30.6,21.5,0.0
2026-03-11,Banyuwangi,30.7,22.6,0.0
2026-03-12,Banyuwangi,31.4,21.3,0.0
2026-03-13,Banyuwangi,29.7,21.4,3.6
2026-03-14,Banyuwangi,27.9,21.1,11.1
2026-03-15,Banyuwangi,27.0,22.3,50.7
